Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
2.327032, 2020-2039, mri_cgcm3, May Anomaly, Brazil, BRA
9.944398, 2020-2039, mri_cgcm3, Jun Anomaly, Brazil, BRA
-0.45518774, 2020-2039, mri_cgcm3, Jul Anomaly, Brazil, BRA
-1.3942126, 2020-2039, mri_cgcm3, Aug Anomaly, Brazil, BRA
-4.263497, 2020-2039, mri_cgcm3, Sep Anomaly, Brazil, BRA
7.1094956, 2020-2039, mri_cgcm3, Oct Anomaly, Brazil, BRA
0.21674392, 2020-2039, mri_cgcm3, Nov Anomaly, Brazil, BRA
1.0817317, 2020-2039, mri_cgcm3, Dec Anomaly, Brazil, BRA
-4.106015, 2020-2039, noresm1_m, Jan Anomaly, Brazil, BRA
-2.0120425, 2020-2039, noresm1_m, Feb Anomaly, Brazil, BRA
-0.13634436, 2020-2039, noresm1_m, Mar Anomaly, Brazil, BRA
-8.372212, 2020-2039, noresm1_m, Apr Anomaly, Brazil, BRA
-2.2808285, 2020-2039, noresm1_m, May Anomaly, Brazil, BRA
-5.641793, 2020-2039, noresm1_m, Jun Anomaly, Brazil, BRA
-2.2284381, 2020-2039, noresm1_m, Jul Anomaly, Brazil, BRA
-3.8318212, 2020-2039, noresm1_m, Aug Anomaly, Brazil, BRA
-4.7049665, 2020-2039, noresm1_m, Sep Anomaly, Brazil, BRA
-11.252868, 2020-2039, noresm1_m, Oct Anomaly, Brazil, BRA
1.5973165, 2020-2039, noresm1_m, Nov Anomaly, Brazil, BRA
-1.9163702, 2020-2039, noresm1_m, Dec Anomaly, Brazil, BRA
9.1810875, 2020-2039, bcc_csm1_1, Jan Anomaly, Bulgaria, BGR
-2.3014166, 2020-2039, bcc_csm1_1, Feb Anomaly, Bulgaria, BGR
6.825006, 2020-2039, bcc_csm1_1, Mar Anomaly, Bulgaria, BGR
-4.7693725, 2020-2039, bcc_csm1_1, Apr Anomaly, Bulgaria, BGR
-6.901239, 2020-2039, bcc_csm1_1, May Anomaly, Bulgaria, BGR
0.048031688, 2020-2039, bcc_csm1_1, Jun Anomaly, Bulgaria, BGR
-0.28426635, 2020-2039, bcc_csm1_1, Jul Anomaly, Bulgaria, BGR
-4.1276875, 2020-2039, bcc_csm1_1, Aug Anomaly, Bulgaria, BGR
-8.13237, 2020-2039, bcc_csm1_1, Sep Anomaly, Bulgaria, BGR
9.381699, 2020-2039, bcc_csm1_1, Oct Anomaly, Bulgaria, BGR
7.411055, 2020-2039, bcc_csm1_1, Nov Anomaly, Bulgaria, BGR
-10.272978, 2020-2039, bcc_csm1_1, Dec Anomaly, Bulgaria, BGR
-6.8703833, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Bulgaria, BGR
-12.203785, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Bulgaria, BGR
-4.0282125, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Bulgaria, BGR
2.2811985, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Bulgaria, BGR
-4.488253, 2020-2039, bcc_csm1_1_m, May Anomaly, Bulgaria, BGR
-11.6929455, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Bulgaria, BGR
4.23303, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Bulgaria, BGR
-0.4342599, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Bulgaria, BGR
-9.154859, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Bulgaria, BGR
-9.614894, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Bulgaria, BGR
-1.8739133, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Bulgaria, BGR
-3.0694268, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Bulgaria, BGR
13.125771, 2020-2039, ccsm4, Jan Anomaly, Bulgaria, BGR
-13.676157, 2020-2039, ccsm4, Feb Anomaly, Bulgaria, BGR
-10.178071, 2020-2039, ccsm4, Mar Anomaly, Bulgaria, BGR
-9.03683, 2020-2039, ccsm4, Apr Anomaly, Bulgaria, BGR
-2.3765388, 2020-2039, ccsm4, May Anomaly, Bulgaria, BGR
-9.401816, 2020-2039, ccsm4, Jun Anomaly, Bulgaria, BGR
7.2784767, 2020-2039, ccsm4, Jul Anomaly, Bulgaria, BGR
-1.463659, 2020-2039, ccsm4, Aug Anomaly, Bulgaria, BGR
-5.021524, 2020-2039, ccsm4, Sep Anomaly, Bulgaria, BGR
-13.997573, 2020-2039, ccsm4, Oct Anomaly, Bulgaria, BGR
1.4116242, 2020-2039, ccsm4, Nov Anomaly, Bulgaria, BGR
3.1572945, 2020-2039, ccsm4, Dec Anomaly, Bulgaria, BGR
4.0177736, 2020-2039, cesm1_cam5, Jan Anomaly, Bulgaria, BGR
-2.1349738, 2020-2039, cesm1_cam5, Feb Anomaly, Bulgaria, BGR
-0.4807589, 2020-2039, cesm1_cam5, Mar Anomaly, Bulgaria, BGR
4.397779, 2020-2039, cesm1_cam5, Apr Anomaly, Bulgaria, BGR
-0.900754, 2020-2039, cesm1_cam5, May Anomaly, Bulgaria, BGR
-0.69115734, 2020-2039, cesm1_cam5, Jun Anomaly, Bulgaria, BGR
13.178577, 2020-2039, cesm1_cam5, Jul Anomaly, Bulgaria, BGR
-1.411339, 2020-2039, cesm1_cam5, Aug Anomaly, Bulgaria, BGR
2.2506075, 2020-2039, cesm1_cam5, Sep Anomaly, Bulgaria, BGR
